txn_id,reservation_id,amount,txn_date
94,94,700,15-Jul-25
95,95,550,17-Jul-25
96,96,800,19-Jul-25
97,97,650,21-Jul-25
98,98,720,23-Jul-25
100,100,580,27-Jul-25
101,101,620,29-Jul-25
102,102,710,31-Jul-25
103,103,530,2-Aug-25
104,104,680,4-Aug-25
105,105,560,6-Aug-25
106,106,810,8-Aug-25
107,107,640,10-Aug-25
108,108,730,12-Aug-25
109,109,610,14-Aug-25
110,110,590,16-Aug-25
111,111,500,18-Aug-25
113,113,450,22-Aug-25
114,114,700,24-Aug-25
115,115,550,26-Aug-25
116,116,800,28-Aug-25
117,117,650,30-Aug-25
118,118,720,1-Sep-25
120,120,580,5-Sep-25
121,121,500,7-Sep-25
123,123,450,11-Sep-25
124,124,700,13-Sep-25
125,125,550,15-Sep-25
126,126,800,17-Sep-25
127,127,650,19-Sep-25
128,128,720,21-Sep-25
130,130,580,25-Sep-25
131,131,500,27-Sep-25
133,133,450,1-Oct-25
134,134,700,3-Oct-25
135,135,550,5-Oct-25
136,136,800,7-Oct-25
137,137,650,9-Oct-25
138,138,720,11-Oct-25
140,140,580,15-Oct-25
141,141,500,17-Oct-25
143,143,450,21-Oct-25
144,144,700,23-Oct-25
145,145,550,25-Oct-25
146,146,800,27-Oct-25
147,147,650,29-Oct-25
148,148,720,31-Oct-25
150,150,580,4-Nov-25
151,151,610,6-Nov-25
152,152,720,8-Nov-25
153,153,540,10-Nov-25
154,154,680,12-Nov-25
155,155,560,14-Nov-25
156,156,810,16-Nov-25
157,157,640,18-Nov-25
158,158,730,20-Nov-25
159,159,610,22-Nov-25
160,160,590,24-Nov-25
161,161,500,26-Nov-25
163,163,450,30-Nov-25
164,164,700,2-Dec-25
165,165,550,4-Dec-25
166,166,800,6-Dec-25
167,167,650,8-Dec-25
168,168,720,10-Dec-25
170,170,580,14-Dec-25
171,171,500,16-Dec-25
173,173,450,20-Dec-25
174,174,700,22-Dec-25
175,175,550,24-Dec-25
176,176,800,26-Dec-25
177,177,650,28-Dec-25
178,178,720,30-Dec-25
180,180,580,3-Jan-24
181,181,500,5-Jan-24
183,183,450,9-Jan-24
184,184,700,11-Jan-24
185,185,550,13-Jan-24
186,186,800,15-Jan-24
187,187,650,17-Jan-24
188,188,720,19-Jan-24
190,190,580,23-Jan-24
191,191,500,25-Jan-24
193,193,450,29-Jan-24
194,194,700,31-Jan-24
195,195,550,2-Feb-24
196,196,800,4-Feb-24
197,197,650,6-Feb-24
198,198,720,8-Feb-24
200,200,580,12-Feb-24
201,201,610,14-Feb-24
202,202,720,16-Feb-24
203,203,540,18-Feb-24
204,204,680,20-Feb-24
205,205,560,22-Feb-24
206,206,810,24-Feb-24
207,207,640,26-Feb-24
208,208,730,28-Feb-24
209,209,610,1-Mar-24
210,210,590,3-Mar-24
211,211,500,5-Mar-24
213,213,450,9-Mar-24
214,214,700,11-Mar-24
215,215,550,13-Mar-24
216,216,800,15-Mar-24
217,217,650,17-Mar-24
218,218,720,19-Mar-24
220,220,580,23-Mar-24
221,221,500,25-Mar-24
223,223,450,29-Mar-24
224,224,700,31-Mar-24
225,225,550,2-Apr-24
226,226,800,4-Apr-24
227,227,650,6-Apr-24
228,228,720,8-Apr-24
230,230,580,12-Apr-24
231,231,500,14-Apr-24
233,233,450,18-Apr-24
234,234,700,20-Apr-24
235,235,550,22-Apr-24
236,236,800,24-Apr-24
237,237,650,26-Apr-24
238,238,720,28-Apr-24
240,240,580,2-May-24
241,241,500,4-May-24
243,243,450,8-May-24
244,244,700,10-May-24
245,245,550,12-May-24
246,246,800,14-May-24
247,247,650,16-May-24
248,248,720,18-May-24
250,250,580,22-May-24
251,251,610,24-May-24
252,252,720,26-May-24
253,253,540,28-May-24
254,254,680,30-May-24
255,255,560,1-Jun-24
256,256,810,3-Jun-24
257,257,640,5-Jun-24
258,258,730,7-Jun-24
259,259,610,9-Jun-24
260,260,590,11-Jun-24
261,261,500,13-Jun-24
263,263,450,17-Jun-24
264,264,700,19-Jun-24
265,265,550,21-Jun-24
266,266,800,23-Jun-24
267,267,650,25-Jun-24
268,268,720,27-Jun-24
270,270,580,1-Jul-24
271,271,500,3-Jul-24
273,273,450,7-Jul-24
274,274,700,9-Jul-24
275,275,550,11-Jul-24
276,276,800,13-Jul-24
277,277,650,15-Jul-24
278,278,720,17-Jul-24
280,280,580,21-Jul-24
281,281,500,23-Jul-24
283,283,450,27-Jul-24
284,284,700,29-Jul-24
285,285,550,31-Jul-24
286,286,800,2-Aug-24
287,287,650,4-Aug-24
288,288,720,6-Aug-24
290,290,580,10-Aug-24
291,291,500,12-Aug-24
293,293,450,16-Aug-24
294,294,700,18-Aug-24
295,295,550,20-Aug-24
296,296,800,22-Aug-24
297,297,650,24-Aug-24
298,298,720,26-Aug-24
300,300,580,30-Aug-24
301,301,610,1-Sep-24
302,302,720,3-Sep-24
303,303,540,5-Sep-24
304,304,680,7-Sep-24
305,305,560,9-Sep-24
306,306,810,11-Sep-24
307,307,640,13-Sep-24
308,308,730,15-Sep-24
309,309,610,17-Sep-24
310,310,590,19-Sep-24
311,311,500,21-Sep-24
313,313,450,25-Sep-24
314,314,700,27-Sep-24
315,315,550,29-Sep-24
316,316,800,1-Oct-24
317,317,650,3-Oct-24
318,318,720,5-Oct-24
320,320,580,9-Oct-24
321,321,500,11-Oct-24
323,323,450,15-Oct-24
324,324,700,17-Oct-24
325,325,550,19-Oct-24
326,326,800,21-Oct-24
327,327,650,23-Oct-24
328,328,720,25-Oct-24
330,330,580,29-Oct-24
331,331,500,31-Oct-24
333,333,450,4-Nov-24
334,334,700,6-Nov-24
335,335,550,8-Nov-24
336,336,800,10-Nov-24
337,337,650,12-Nov-24
338,338,720,14-Nov-24
340,340,580,18-Nov-24
341,341,500,20-Nov-24
343,343,450,24-Nov-24
344,344,700,26-Nov-24
345,345,550,28-Nov-24
346,346,800,30-Nov-24
347,347,650,2-Dec-24
348,348,720,4-Dec-24
350,350,580,8-Dec-24
351,351,610,10-Dec-24
352,352,720,12-Dec-24
353,353,540,14-Dec-24
354,354,680,16-Dec-24
355,355,560,18-Dec-24
356,356,810,20-Dec-24
357,357,640,22-Dec-24
358,358,730,24-Dec-24
359,359,610,26-Dec-24
360,360,590,28-Dec-24
361,361,500,30-Dec-24
363,363,450,3-Jan-25
364,364,700,5-Jan-25
365,365,550,7-Jan-25
366,366,800,9-Jan-25
367,367,650,11-Jan-25
368,368,720,13-Jan-25
370,370,580,17-Jan-25
371,371,500,19-Jan-25
373,373,450,23-Jan-25
374,374,700,25-Jan-25
375,375,550,27-Jan-25
376,376,800,29-Jan-25
377,377,650,31-Jan-25
378,378,720,2-Feb-25
380,380,580,6-Feb-25
381,381,500,8-Feb-25
383,383,450,12-Feb-25
384,384,700,14-Feb-25
385,385,550,16-Feb-25
386,386,800,18-Feb-25
387,387,650,20-Feb-25
388,388,720,22-Feb-25
390,390,580,26-Feb-25
391,391,500,28-Feb-25
393,393,450,4-Mar-25
394,394,700,6-Mar-25
395,395,550,8-Mar-25
396,396,800,10-Mar-25
397,397,650,12-Mar-25
398,398,720,14-Mar-25
400,400,580,18-Mar-25
401,401,610,20-Mar-25
402,402,720,22-Mar-25
403,403,540,24-Mar-25
404,404,680,26-Mar-25
405,405,560,28-Mar-25
407,407,640,1-Apr-25
408,408,730,3-Apr-25
409,409,610,5-Apr-25
410,410,590,7-Apr-25
411,411,500,9-Apr-25
413,413,450,13-Apr-25
414,414,700,15-Apr-25
415,415,550,17-Apr-25
416,416,800,19-Apr-25
417,417,650,21-Apr-25
418,418,720,23-Apr-25
420,420,580,27-Apr-25
421,421,500,29-Apr-25
423,423,450,3-May-25
424,424,700,5-May-25
425,425,550,7-May-25
426,426,800,9-May-25
427,427,650,11-May-25
428,428,720,13-May-25
430,430,580,17-May-25
431,431,500,19-May-25
433,433,450,23-May-25
434,434,700,25-May-25
435,435,550,27-May-25
436,436,800,29-May-25
437,437,650,31-May-25
438,438,720,2-Jun-25
440,440,580,6-Jun-25
441,441,500,8-Jun-25
443,443,450,12-Jun-25
444,444,700,14-Jun-25
445,445,550,16-Jun-25
446,446,800,18-Jun-25
447,447,650,20-Jun-25
448,448,720,22-Jun-25
450,450,580,26-Jun-25
451,451,610,28-Jun-25
452,452,720,30-Jun-25
453,453,540,2-Jul-25
454,454,680,4-Jul-25
455,455,560,6-Jul-25
456,456,810,8-Jul-25
457,457,640,10-Jul-25
458,458,730,12-Jul-25
459,459,610,14-Jul-25
460,460,590,16-Jul-25
461,461,500,18-Jul-25
463,463,450,22-Jul-25
464,464,700,24-Jul-25
465,465,550,26-Jul-25
466,466,800,28-Jul-25
467,467,650,30-Jul-25
468,468,720,1-Aug-25
470,470,580,5-Aug-25
471,471,500,7-Aug-25
473,473,450,11-Aug-25
474,474,700,13-Aug-25
475,475,550,15-Aug-25
476,476,800,17-Aug-25
477,477,650,19-Aug-25
478,478,720,21-Aug-25
480,480,580,25-Aug-25
481,481,500,27-Aug-25
483,483,450,31-Aug-25
484,484,700,2-Sep-25
485,485,550,4-Sep-25
486,486,800,6-Sep-25
487,487,650,8-Sep-25
488,488,720,10-Sep-25
490,490,580,14-Sep-25
491,491,500,16-Sep-25
493,493,450,20-Sep-25
494,494,700,22-Sep-25
495,495,550,24-Sep-25
496,496,800,26-Sep-25
497,497,650,28-Sep-25
498,498,720,30-Sep-25
500,500,580,4-Oct-25

